,0,1,2,3,4,5
IL-MG604-N-B.jpg,728,123,841,2306,891,2541
OH-MG799S-A.jpg,941,337,1387,2107,1423,2575
IL-MG604-W-B.jpg,871,136,986,2854,953,3115
IA-MG244-W-A.jpg,384,51,933,2194,933,2538
MB-SD004-E-B.jpg,572,325,697,1462,675,1699
IL-SF002-N-A.jpg,642,306,699,1567,778,1848
MB-MG518-W-B.jpg,366,456,346,1553,335,1670
MB-MG516-E-B.jpg,669,341,655,1558,625,1656
MB-SD004-S-B.jpg,605,237,644,1426,625,1601
MO-MG403-W-A.jpg,320,136,840,1828,891,1963
IN-MG638-N-B.jpg,1112,365,886,2051,973,2376
MB-MG513-E-B.jpg,658,264,727,1658,711,1811
IN-MG638-W-B.jpg,1058,181,1064,2205,1029,2507
MB-MG530-N-A.jpg,510,302,619,1874,651,2107
IA-MG244-W-B.jpg,513,132,1263,2219,1329,2568
MB-MG518-S-B.jpg,558,332,582,1498,610,1598
MB-MG528-W-A.jpg,781,173,745,1882,757,2183
MB-SD004-W-A.jpg,576,179,653,1395,614,1654
MN-MG788E-A.jpg,1107,151,886,2814,787,3098
IN-MG638-S-A.jpg,933,135,977,2165,999,2562
MB-MG530-W-A.jpg,496,363,633,1859,612,2033
MO-MG403-S-A.jpg,944,222,929,2670,924,2879
MB-MG518-N-B.jpg,542,338,397,1841,366,2018
MN-SD002-E-B.jpg,1107,135,1360,1598,1354,1837
IA-MG245-W-B.jpg,489,65,1054,1913,1112,2104
MO-MG403-E-B.jpg,928,105,683,2025,638,2248
MN-SD002-N-B.jpg,968,161,961,1596,963,1793
IL-SF002-S-A.jpg,743,91,588,1695,523,1961
MB-SD004-S-A.jpg,612,311,711,1679,687,1849
MB-MG513-W-A.jpg,633,52,657,1763,641,2031
MO-MG404-W-A.jpg,783,18,689,2185,732,2421
IA-MG245-W-A.jpg,621,67,1019,1794,1089,1982
IA-MG243-S-B.jpg,143,404,732,1625,710,1842
MB-MG529-S-B.jpg,674,7,883,1857,924,2080
IN-MG631-E-A.jpg,773,249,1086,2412,1060,2874
MN-MG788S-A.jpg,1283,105,1482,2954,1542,3252
OK-MG282-E-B.jpg,786,245,826,1691,847,1875
MB-MG517-S-A.jpg,566,94,591,1837,569,1955
MB-MG513-S-B.jpg,838,299,905,1718,892,1939
OK-MG282-N-B.jpg,642,237,532,1853,513,1986
MO-MG404-N-A.jpg,620,12,720,1908,790,2082
IA-MG245-E-B.jpg,648,35,1004,2343,1100,2717
MB-MG513-N-B.jpg,714,456,842,1456,866,1573
MB-MG528-S-B.jpg,522,83,772,1607,824,1915
IL-SF003-W-B.jpg,531,195,928,1943,888,2221
OH-MG805N-A.jpg,1483,293,1673,3050,1744,3344
MN-SD003-S-A.jpg,856,73,989,2384,1022,2668
MB-MG528-E-B.jpg,619,16,568,1645,578,1945
MO-MG403-N-B.jpg,671,49,951,2113,966,2310
