,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
MB-MG530-W-B.jpg,538,1112,514,1530,538,960,528,914,466,360,528,1503,515,720,482.0,484.0,481.0,555.0,530.0,1387.0,539.0,1389.0,547.0,1145.0,,,,,,,,,,
MB-SD004-E-B.jpg,676,882,692,1298,608,502,698,1143,703,1309,665,865,605,552,687.0,1122.0,,,,,,,,,,,,,,,,,,
MB-SD004-S-A.jpg,700,856,732,1489,650,615,740,1272,718,904,721,1501,647,542,723.0,1372.0,729.0,1110.0,,,,,,,,,,,,,,,,
MB-SD004-W-A.jpg,668,768,679,1263,690,906,670,681,679,943,620,435,676,1169,690.0,1149.0,667.0,1261.0,620.0,478.0,,,,,,,,,,,,,,
MB-SD005-N-B.jpg,627,1302,636,1296,583,640,550,384,598,851,617,1117,542,367,570.0,598.0,624.0,1114.0,606.0,871.0,,,,,,,,,,,,,,
MB-SD005-S-B.jpg,618,755,635,1369,617,626,627,1117,615,367,626,931,632,881,640.0,1240.0,630.0,1273.0,612.0,445.0,635.0,1080.0,623.0,705.0,,,,,,,,,,
MN-MG788S-A.jpg,1326,2289,1157,985,1174,1537,1172,1195,1270,2130,1230,1870,1157,1303,1351.0,2463.0,1169.0,922.0,1192.0,516.0,1169.0,1648.0,1192.0,665.0,,,,,,,,,,
MN-MG788W-B.jpg,970,1272,1098,832,1024,1073,1096,870,979,1987,988,2120,1220,609,956.0,1931.0,963.0,1216.0,936.0,1660.0,1026.0,1017.0,934.0,1430.0,965.0,1759.0,967.0,2118.0,,,,,,
MN-MG790W-B.jpg,709,1191,848,1631,689,1080,860,1622,688,906,789,1416,819,1524,701.0,860.0,733.0,1220.0,779.0,1343.0,835.0,1526.0,698.0,1046.0,,,,,,,,,,
MN-SD001-S-A.jpg,661,904,653,1354,672,871,663,677,664,1351,658,1141,669,1098,677.0,560.0,,,,,,,,,,,,,,,,,,
MN-SD002-E-B.jpg,1349,1274,1297,921,1334,1235,1345,1378,1222,594,1317,1005,1356,1395,1276.0,743.0,1205.0,501.0,1185.0,451.0,1139.0,282.0,1170.0,373.0,,,,,,,,,,
MO-MG402-N-B.jpg,672,869,699,1309,713,1334,674,1053,726,1932,667,869,730,1740,713.0,1640.0,686.0,1074.0,717.0,1430.0,,,,,,,,,,,,,,
MO-MG403-E-B.jpg,722,1782,711,1756,748,1545,736,1539,849,733,819,810,766,1184,784.0,1165.0,,,,,,,,,,,,,,,,,,
MO-MG404-N-A.jpg,651,786,704,1625,653,1160,645,856,678,1510,690,1437,618,622,690.0,1676.0,611.0,164.0,671.0,1079.0,,,,,,,,,,,,,,
MO-MG404-N-B.jpg,692,536,702,832,670,1751,712,758,684,1623,727,1364,720,1054,705.0,1380.0,738.0,1024.0,694.0,1699.0,683.0,585.0,707.0,1576.0,,,,,,,,,,
MO-MG404-S-A.jpg,654,1432,645,1658,633,1816,661,666,646,958,643,1198,672,775,664.0,1093.0,641.0,1446.0,672.0,341.0,679.0,330.0,633.0,1627.0,624.0,1754.0,,,,,,,,
MO-MG404-W-A.jpg,646,1380,665,1723,640,1073,665,1959,660,705,678,1903,649,1752,626.0,1479.0,658.0,1003.0,,,,,,,,,,,,,,,,
OH-MG805E-A.jpg,1060,1573,945,858,1033,1182,1069,1534,1113,2287,1095,2236,1113,2174,1104.0,1884.0,899.0,545.0,1088.0,1955.0,950.0,805.0,1030.0,1373.0,,,,,,,,,,
OH-MG805W-B.jpg,991,1451,606,425,616,428,1012,1658,850,953,716,665,1000,1650,803.0,888.0,981.0,1468.0,688.0,627.0,895.0,1096.0,1007.0,1740.0,1022.0,1751.0,914.0,1111.0,,,,,,
