,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
MO-MG404-N-B.jpg,692,536,702,832,670,1751,712,758,684,1623,727,1364,720,1054,705,1380,738,1024,694,1699,683,585,707,1576,1,1,1,1,1,1,1,1,1,1
IN-MG631-E-B.jpg,781,1925,830,296,814,751,768,1714,780,1714,776,1276,793,962,803,764,791,1144,781,959,770,1943,785,1365,839,346,843,550,1,1,1,1,1,1
MB-MG529-S-B.jpg,835,1636,858,1708,791,1370,702,697,835,1592,688,470,728,876,751,1076,706,677,675,136,747,1121,685,488,723,903,671,289,791,1422,1,1,1,1
MB-SD004-E-B.jpg,676,882,692,1298,608,502,698,1143,703,1309,665,865,605,552,687,1122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MN-MG788S-A.jpg,1326,2289,1157,985,1174,1537,1172,1195,1270,2130,1230,1870,1157,1303,1351,2463,1169,922,1192,516,1169,1648,1192,665,1,1,1,1,1,1,1,1,1,1
OH-MG805E-A.jpg,1060,1573,945,858,1033,1182,1069,1534,1113,2287,1095,2236,1113,2174,1104,1884,899,545,1088,1955,950,805,1030,1373,1,1,1,1,1,1,1,1,1,1
IL-MG603-N-A.jpg,1425,2806,1388,2637,1251,1982,1106,1222,1227,1681,1180,1544,1375,2661,1288,2117,1346,2455,1314,2360,1116,1267,1,1,1,1,1,1,1,1,1,1,1,1
IA-MG245-S-B.jpg,903,1468,936,1679,902,1337,852,1190,676,621,979,2035,955,1915,780,864,786,921,854,1137,962,1872,932,1756,991,2025,648,536,1,1,1,1,1,1
MN-MG788W-B.jpg,970,1272,1098,832,1024,1073,1096,870,979,1987,988,2120,1220,609,956,1931,963,1216,936,1660,1026,1017,934,1430,965,1759,967,2118,1,1,1,1,1,1
IL-SF001-W-A.jpg,784,857,748,1615,770,1064,798,848,755,1359,751,1100,730,1634,737,1377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MB-MG513-W-A.jpg,678,1273,695,1230,667,1484,675,670,691,969,705,939,679,1465,684,619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL-MG604-N-B.jpg,790,750,808,1997,758,1669,811,2088,738,1332,736,212,770,851,752,343,722,1244,798,1969,774,1709,772,510,750,373,742,216,740,1171,1,1,1,1
MB-SD004-W-A.jpg,668,768,679,1263,690,906,670,681,679,943,620,435,676,1169,690,1149,667,1261,620,478,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IA-MG245-W-A.jpg,819,714,864,984,972,1657,921,1387,734,432,977,1610,793,650,692,324,692,290,879,1103,859,901,955,1503,919,1306,735,477,830,816,879,1010,947,1550
IL-SF003-E-A.jpg,580,1177,532,1580,551,1532,517,1754,643,582,600,1133,631,566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MB-SD005-S-B.jpg,618,755,635,1369,617,626,627,1117,615,367,626,931,632,881,640,1240,630,1273,612,445,635,1080,623,705,1,1,1,1,1,1,1,1,1,1
MO-MG404-S-A.jpg,654,1432,645,1658,633,1816,661,666,646,958,643,1198,672,775,664,1093,641,1446,672,341,679,330,633,1627,624,1754,1,1,1,1,1,1,1,1
IA-MG245-E-B.jpg,957,2095,896,985,788,486,945,1947,861,788,744,250,887,985,938,1673,798,482,955,1725,910,1264,863,756,725,227,927,1292,971,2074,1,1,1,1
MO-MG404-W-A.jpg,646,1380,665,1723,640,1073,665,1959,660,705,678,1903,649,1752,626,1479,658,1003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MO-MG402-N-B.jpg,672,869,699,1309,713,1334,674,1053,726,1932,667,869,730,1740,713,1640,686,1074,717,1430,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IA-MG243-S-A.jpg,806,1091,819,1095,900,1702,854,1481,881,1667,826,636,868,1503,826,530,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL-SF003-W-A.jpg,924,1635,786,450,866,1126,756,286,774,418,767,301,890,1221,834,781,933,1564,855,966,836,917,897,1385,945,1772,933,1818,818,628,818,737,799,561
IL-SF001-E-B.jpg,804,964,755,1308,793,950,782,1188,815,731,768,1186,770,1306,805,692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
